Country Name,Country Code,Year,Unemployment
Poland,POL,2000,14.928
Czechia,CZE,2000,8.764
Poland,POL,2001,18.435
Czechia,CZE,2001,8.128
Poland,POL,2002,20.211
Czechia,CZE,2002,7.281
Poland,POL,2003,19.899
Czechia,CZE,2003,7.777
Poland,POL,2004,18.822
Czechia,CZE,2004,8.298
Poland,POL,2005,17.592
Czechia,CZE,2005,7.927
Poland,POL,2006,13.794
Czechia,CZE,2006,7.141
Poland,POL,2007,9.551
Czechia,CZE,2007,5.316
Poland,POL,2008,7.069
Czechia,CZE,2008,4.393
Poland,POL,2009,8.131
Czechia,CZE,2009,6.662
Poland,POL,2010,9.578
Czechia,CZE,2010,7.281
Poland,POL,2011,9.576
Czechia,CZE,2011,6.712
Poland,POL,2012,10.031
Czechia,CZE,2012,6.979
Poland,POL,2013,10.293
Czechia,CZE,2013,6.953
Poland,POL,2014,8.971
Czechia,CZE,2014,6.108
Poland,POL,2015,7.475
Czechia,CZE,2015,5.048
Poland,POL,2016,6.141
Czechia,CZE,2016,3.952
Poland,POL,2017,4.867
Czechia,CZE,2017,2.893
Poland,POL,2018,3.835
Czechia,CZE,2018,2.246
Poland,POL,2019,3.267
Czechia,CZE,2019,2.015
Poland,POL,2020,3.155
Czechia,CZE,2020,2.551
Poland,POL,2021,3.268
Czechia,CZE,2021,2.803
Poland,POL,2022,2.811
Czechia,CZE,2022,2.224
Poland,POL,2023,2.743
Czechia,CZE,2023,2.58
